date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:31	39934/39934	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-9bfe%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/search-results.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/search-results.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:32	42002/42002	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-a412%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/portfolio.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/portfolio.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:32	38497/38497	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-9661%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/invoice.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/invoice.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:32	38136/38136	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-94f8%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/pricing-table.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/pricing-table.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:32	53915/53915	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-d29b%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/orders.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/samples/orders.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:33	49651/49651	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-c1f3%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/email.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/email.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:33	35954/35954	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-8c72%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/calendar.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/calendar.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:33	36145/36145	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-8d31%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/todo.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/todo.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:34	38920/38920	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-9808%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/gallery.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/apps/gallery.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:34	3726/3726	---MCZ	200	added ('OK')	text/html	etag:W/%225bab8a31-e8e%22	http://www.urbanui.com/serein/template/demo/vertical-default-light/pages/documentation/documentation.html	C:/vendor/vendor/www.urbanui.com/serein/template/demo/vertical-default-light/pages/documentation/documentation.html	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:34	15062/15062	---M--	200	added ('OK')	image/jpeg	etag:%225bab8a31-3ad6%22	http://www.urbanui.com/serein/template/images/faces/face8.jpg	C:/vendor/vendor/www.urbanui.com/serein/template/images/faces/face8.jpg	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:35	10400/10400	---M--	200	added ('OK')	image/jpeg	etag:%225bab8a31-28a0%22	http://www.urbanui.com/serein/template/images/faces/face7.jpg	C:/vendor/vendor/www.urbanui.com/serein/template/images/faces/face7.jpg	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
12:33:37	185/185	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bab8a31-b9%22	http://www.urbanui.com/serein/template/js/off-canvas.js	C:/vendor/vendor/www.urbanui.com/serein/template/js/off-canvas.js	(from http://www.urbanui.com/serein/template/demo/vertical-default-light/)
